,연도,분기,버스정류장,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수
228,2020,1,23158,9749,72948,50253,71159,133524,44874
229,2020,2,23158,10452,70291,50799,73196,133008,46839
230,2020,3,23158,10355,70709,51621,73644,132028,47177
231,2020,4,23158,8922,66904,50897,71282,123688,42870
232,2020,1,23159,13133,100463,47167,57479,90419,34863
233,2020,2,23159,13261,97983,47642,60817,92565,36335
234,2020,3,23159,13662,101178,49513,61086,92210,36678
235,2020,4,23159,12372,96502,47582,57492,83866,32390
236,2020,1,23160,6895,35222,24383,34442,72536,34838
237,2020,2,23160,7026,34140,24812,35977,73388,35439
238,2020,3,23160,6957,34910,26268,38461,76154,36375
239,2020,4,23160,6225,34184,25237,36422,72949,33768
240,2020,1,23161,8073,57881,31493,41088,68825,32178
241,2020,2,23161,8575,56081,32866,41313,67177,30210
242,2020,3,23161,7848,59171,33814,43327,68154,32049
243,2020,4,23161,6627,55988,31130,38911,61366,28507
244,2020,1,23162,1354,17516,9575,12062,20188,10767
245,2020,2,23162,1606,17661,9579,12630,19921,11478
246,2020,3,23162,1403,17984,10012,11501,19768,11836
247,2020,4,23162,1098,16485,9510,11228,17315,11201
248,2020,1,23163,704,12127,7355,9192,13082,6267
249,2020,2,23163,528,11536,7292,9246,13524,6824
250,2020,3,23163,505,12332,7767,9331,13933,6771
251,2020,4,23163,425,11050,7034,8563,11402,6170
252,2020,1,23164,1753,10726,7684,13930,23846,9566
253,2020,2,23164,1956,10722,7579,14259,24635,10429
254,2020,3,23164,2193,10985,7449,13964,24200,10837
255,2020,4,23164,1878,10969,7804,14165,22651,10032
256,2020,1,23165,1734,22850,12282,17296,32883,7967
257,2020,2,23165,1815,23685,12278,16571,30737,8050
258,2020,3,23165,2067,24261,12333,16156,30251,8183
259,2020,4,23165,1934,23378,11909,15763,27752,7589
260,2020,1,23166,15665,127279,48442,51444,95041,41460
261,2020,2,23166,15193,120461,46178,49810,89804,40965
262,2020,3,23166,15597,121243,46739,50594,92692,41061
263,2020,4,23166,14655,121461,46502,50765,89263,37538
264,2020,1,23167,12496,79840,39207,56395,124848,53940
265,2020,2,23167,13649,78102,37320,54065,118391,51750
266,2020,3,23167,13630,80053,38112,54211,117429,51584
267,2020,4,23167,11585,76428,38304,55474,116936,49267
268,2020,1,23168,6834,41742,15003,18454,33725,14804
269,2020,2,23168,6926,41387,14700,18534,32393,14981
270,2020,3,23168,5507,20667,7172,9747,15520,8348
271,2020,4,23168,4339,18446,6315,8612,12697,7473
272,2020,1,23169,16672,43597,20181,23184,55680,15946
273,2020,2,23169,17197,42925,18736,23200,54077,15398
274,2020,3,23169,17034,43117,19171,23548,53001,14545
275,2020,4,23169,15214,40660,18843,22467,49950,12803
276,2020,1,23170,8467,70203,19576,19546,43927,12062
277,2020,2,23170,8231,63456,16180,19497,40347,10899
278,2020,3,23170,8216,63306,15974,19839,39729,10327
279,2020,4,23170,7130,58771,16443,18169,39198,9128
280,2020,1,23171,3445,36004,10880,12093,18991,8916
281,2020,2,23171,4211,32750,9016,10611,15763,6861
282,2020,3,23171,4413,40876,13723,15544,24837,8907
283,2020,4,23171,3517,39579,12951,14955,22951,7888
284,2020,1,23172,4560,40303,15072,21976,75132,17976
285,2020,2,23172,4272,37191,14241,21461,73149,16021
