연도,분기,상권_코드,점포수,시간대_00~06_매출_금액_평균,시간대_06~11_매출_금액_평균,시간대_11~14_매출_금액_평균,시간대_14~17_매출_금액_평균,시간대_17~21_매출_금액_평균,시간대_21~24_매출_금액_평균,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,상권_중앙위경도_값,00~06시_버스,06~11시_버스,11~14시_버스,14~17시_버스,17~21시_버스,21~24시_버스,00~06시_지하철,06~11시_지하철,11~14시_지하철,14~17시_지하철,17~21시_지하철,21~24시_지하철,포함된_버정_수,포함된_역_수
2021,2,2110976,6,27011.296703296703,125186.74725274726,83685.21611721611,89246.05128205128,175200.8186813187,148413.76373626373,2022.0,1080.0,0.0,1080.0,578.0,56.0,0.0,63.0,179.0,110.0,70.0,55.0,51.0,766414,158726,159737,119300,114924,132104,81621,109494,115015,113158,116092,115598,104117,92940,204029,446915,11680,"37.52171331120836, 127.04557700798111",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110977,9,41032.70695970696,73892.3553113553,55710.14407814408,57701.38095238096,123252.1916971917,98748.5347985348,691.0,340.0,0.0,340.0,148.0,16.0,2.0,30.0,56.0,25.0,6.0,0.0,0.0,120993,25007,25357,18187,17556,21059,13829,18544,18190,18347,18084,18156,14936,14733,204149,441990,11680,"37.477338239228565, 127.04690671040551",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110980,3,37519.35897435897,105610.1868131868,73072.78388278389,66983.54212454212,136930.4945054945,125754.92307692308,2629.0,1125.0,0.0,1125.0,663.0,77.0,9.0,153.0,231.0,220.0,22.0,12.0,54.0,505406,137182,101616,61301,61858,78345,65105,74889,74707,73920,74718,74384,66682,66105,204264,442377,11680,"37.4808246207884, 127.04820908778728",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110981,9,115041.30280830282,183610.2551892552,155487.67155067157,162944.54334554335,274627.1465201465,239345.5347985348,2118.0,907.0,0.0,907.0,361.0,55.0,14.0,127.0,219.0,196.0,12.0,12.0,0.0,445814,103654,88037,59416,57444,79626,57638,65249,65658,64747,64548,64944,60594,60073,204328,441787,11680,"37.47550836944001, 127.04892921001091",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2021,2,2110982,3,44807.593406593405,78264.47252747252,77241.58241758242,104800.47985347985,162463.92307692306,119677.95238095237,827.0,406.0,0.0,406.0,166.0,22.0,4.0,104.0,61.0,21.0,6.0,7.0,3.0,197880,55662,44667,23431,23276,27872,22971,28359,28225,27969,28170,28165,28330,28663,204400,446173,11680,"37.515026175047964, 127.04976940660319",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110983,3,129985.58974358974,353082.3846153846,556304.5054945055,661501.2893772894,1208379.4835164836,955650.8241758242,2703.0,1231.0,0.0,1231.0,783.0,66.0,10.0,167.0,234.0,131.0,48.0,11.0,10.0,392664,114216,81040,43493,44010,58600,51302,57422,56575,55769,55638,56721,55084,55455,204436,442033,11680,"37.47772434054866, 127.05015165991955",102.0,8692.0,2907.0,3481.0,4572.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2021,2,2110984,6,173888.3186813187,204480.5695970696,220346.3076923077,198349.4542124542,423252.4304029304,313100.17765567766,4267.0,1912.0,0.0,1912.0,1556.0,106.0,27.0,365.0,331.0,208.0,76.0,25.0,35.0,959650,336760,223676,103637,86670,104007,104901,137594,141531,137972,137293,138862,132749,133648,204614,441586,11680,"37.4736959569425, 127.05216125750721",233.0,4323.0,1985.0,2027.0,3193.0,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2021,2,2110985,3,149944.40293040292,175743.85714285713,183643.1978021978,192858.37728937727,370874.0549450549,382616.8424908425,956.0,480.0,0.0,480.0,1338.0,27.0,0.0,14.0,44.0,37.0,37.0,5.0,102.0,253238,53694,55628,37692,37154,42433,26640,36818,36879,36354,37533,37448,35245,32960,204619,447061,11680,"37.523026010525676, 127.0522521435632",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2021,2,2110988,3,46917.22344322344,123144.42857142857,96724.36996336996,128452.23076923077,229537.61538461532,186244.695970696,1289.0,463.0,0.0,463.0,1594.0,21.0,0.0,0.0,2.0,2.0,4.0,13.0,324.0,200694,37577,44616,30284,30206,35376,22637,28338,28751,28214,28918,29184,29581,27711,204808,446522,11680,"37.51816864142927, 127.05438666812174",0.0,0.0,0.0,0.0,0.0,0.0,20921.0,1211759.0,324895.0,409338.0,919563.0,226804.0,0,1
2021,2,2110989,9,76722.07448107448,78448.9536019536,73611.9768009768,74816.32600732602,183541.79975579976,144375.137973138,1588.0,904.0,0.0,904.0,444.0,60.0,2.0,281.0,245.0,106.0,41.0,8.0,4.0,719182,153075,145646,111551,108384,126277,74247,109165,109523,107317,110331,108594,88791,85462,204813,444816,11680,"37.50279748516958, 127.05443206338535",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
