연도,분기,상권_코드,점포수,시간대_00~06_매출_금액_평균,시간대_06~11_매출_금액_평균,시간대_11~14_매출_금액_평균,시간대_14~17_매출_금액_평균,시간대_17~21_매출_금액_평균,시간대_21~24_매출_금액_평균,총 상주인구 수,총 가구 수,아파트 가구 수,비아파트 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,상권_중앙위경도_값,00~06시_버스,06~11시_버스,11~14시_버스,14~17시_버스,17~21시_버스,21~24시_버스,00~06시_지하철,06~11시_지하철,11~14시_지하철,14~17시_지하철,17~21시_지하철,21~24시_지하철,포함된_버정_수,포함된_역_수
2022,1,2120216,7,51686.1492063492,208392.5873015873,177141.75873015873,145693.9380952381,241843.69523809524,138249.87936507937,218.0,151.0,0.0,151.0,4934.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,192922,22847,42902,37112,37043,36615,16403,29142,29167,29305,30895,30615,24145,19654,205001,446821,11680,"37.52086161406612, 127.05657185968903",14157.0,220132.0,65363.0,79924.0,170569.0,47823.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
2022,1,2120221,11,49512.69797979798,294180.29494949494,223595.48989898988,176127.85757575757,246360.5131313132,157629.5575757576,693.0,489.0,0.0,489.0,19513.0,7.0,0.0,5.0,42.0,7.0,6.0,18.0,99.0,350493,46969,77571,65953,66740,64211,29049,54766,54207,53753,57320,55648,39424,35373,205487,446152,11680,"37.51483114367817, 127.06206454963771",19043.0,288566.0,108629.0,129776.0,254179.0,76789.0,7302.0,704291.0,319595.0,379778.0,724166.0,157670.0,6,1
2022,1,2120202,20,42517.73222222222,128837.55833333332,154741.6377777778,146090.38944444444,228536.95777777777,153980.90333333335,1843.0,793.0,0.0,793.0,11735.0,15.0,0.0,10.0,3.0,4.0,0.0,26.0,534.0,1952805,194079,327983,381772,415964,465177,167832,272060,283490,286030,304904,314651,277950,213720,203552,447483,11680,"37.526832962629484, 127.04018381643365",19797.0,179081.0,121101.0,162565.0,258973.0,116085.0,6537.0,780406.0,426486.0,537060.0,1012197.0,264546.0,3,1
2022,1,2120212,10,55549.17222222222,262502.85,238993.00666666668,231907.6677777778,388907.62333333335,197188.4477777778,1481.0,682.0,0.0,682.0,713.0,20.0,0.0,26.0,71.0,37.0,24.0,8.0,113.0,1042248,137681,179860,168536,194581,247022,114569,142415,144148,148215,149913,151250,160823,145485,204753,444195,11680,"37.49720255031762, 127.05374948985842",8203.0,175480.0,104434.0,121061.0,168558.0,76132.0,9240.0,615262.0,347253.0,363149.0,670457.0,225589.0,4,1
2022,1,2120200,17,185525.56274509805,382052.4261437909,445388.9535947713,375361.6470588236,595276.4620915033,384022.0163398693,976.0,565.0,0.0,565.0,9363.0,13.0,4.0,29.0,24.0,9.0,10.0,2.0,79.0,1171034,116734,208943,238622,246158,265879,94697,161997,173182,176241,187828,190235,160946,120605,203484,447046,11680,"37.522895842647785, 127.03941246043162",12713.0,152067.0,103940.0,139237.0,256487.0,117888.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
2022,1,2120199,7,624470.3111111111,926471.1492063492,864374.9873015872,694177.6698412698,1398393.120634921,1169604.9365079366,996.0,641.0,0.0,641.0,3830.0,18.0,0.0,111.0,58.0,16.0,2.0,0.0,147.0,553444,99230,117193,92115,91125,98134,55648,83623,83389,84061,87971,85734,66405,62261,203439,445451,11680,"37.50852500535553, 127.03889594244671",5675.0,50801.0,18091.0,22055.0,37994.0,13833.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
2022,1,2130310,4,104393.9361111111,247860.7555555556,228621.86111111112,235054.8583333333,576178.1972222222,384310.55,112.0,83.0,0.0,83.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211820,24967,40548,37899,41800,47728,18879,29637,30054,30929,30781,31410,30451,28559,205983,443264,11680,"37.48880703177452, 127.06765141951202",1642.0,44752.0,30054.0,34815.0,39345.0,10826.0,4819.0,168107.0,78673.0,94510.0,147643.0,47902.0,2,1
2022,1,2110955,13,440925.252991453,362423.6598290599,340241.7717948718,408121.34358974354,845692.0547008547,733577.182051282,7089.0,4515.0,0.0,4515.0,3430.0,187.0,16.0,842.0,746.0,183.0,103.0,80.0,168.0,2989948,768846,669447,379253,367449,454219,350731,431559,427451,433790,439411,436663,414949,406125,202593,445514,11680,"37.50909540147428, 127.02932769615451",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2022,1,2110981,4,241767.9138888889,363417.0333333333,316388.48055555555,335569.98055555555,684184.8444444444,523450.7444444444,2118.0,907.0,0.0,907.0,361.0,57.0,10.0,137.0,201.0,230.0,17.0,13.0,0.0,423398,101071,83854,53926,54541,74961,55046,60430,60905,61965,62279,62511,58655,56652,204328,441787,11680,"37.47550836944001, 127.04892921001091",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2022,1,2110977,3,96787.36296296296,205569.2555555556,204720.22222222225,181276.6925925926,395572.24074074073,290886.4703703704,691.0,340.0,0.0,340.0,148.0,17.0,1.0,34.0,42.0,42.0,7.0,0.0,0.0,154927,36628,32525,21717,20430,24954,18671,22920,22457,22959,23510,23369,19838,19873,204149,441990,11680,"37.477338239228565, 127.04690671040551",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
